%time,field.header.seq,field.header.stamp,field.header.frame_id,field.axes0,field.axes1,field.axes2,field.axes3,field.axes4,field.axes5,field.axes6,field.axes7,field.buttons0,field.buttons1,field.buttons2,field.buttons3,field.buttons4,field.buttons5,field.buttons6,field.buttons7,field.buttons8,field.buttons9,field.buttons10,field.buttons11,field.buttons12,field.buttons13,field.buttons14
1685575760502875686,6986,1685575760501923902,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760520268459,6987,1685575760518810189,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760536475997,6988,1685575760536101037,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760554315540,6989,1685575760553002365,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760570190328,6990,1685575760569871339,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760587574556,6991,1685575760586720568,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760604868285,6992,1685575760603628296,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760621618054,6993,1685575760620529848,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760638450707,6994,1685575760637433575,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760655445350,6995,1685575760654342391,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760672331829,6996,1685575760671268616,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760688986554,6997,1685575760688189720,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760706073810,6998,1685575760705043782,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760722893150,6999,1685575760721904179,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760739686057,7000,1685575760738804099,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760756775840,7001,1685575760755686226,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760773737426,7002,1685575760772578337,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760790395543,7003,1685575760789488977,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685575760807407628,7004,1685575760806373472,/dev/input/js0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
