%time,field.header.seq,field.header.stamp,field.header.frame_id,field.axes0,field.axes1,field.axes2,field.axes3,field.axes4,field.axes5,field.axes6,field.axes7,field.buttons0,field.buttons1,field.buttons2,field.buttons3,field.buttons4,field.buttons5,field.buttons6,field.buttons7,field.buttons8,field.buttons9,field.buttons10
1685553372762969061,15316,1685553372762648495,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372779724958,15317,1685553372779416344,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372796514053,15318,1685553372796196226,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372813363973,15319,1685553372812989483,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372830133067,15320,1685553372829820559,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372846967736,15321,1685553372846649235,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372863752668,15322,1685553372863518314,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372880529408,15323,1685553372880297014,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372897371376,15324,1685553372897088084,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372914158730,15325,1685553372913858399,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372931006051,15326,1685553372930666614,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372947776770,15327,1685553372947510449,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372964571272,15328,1685553372964279175,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372981421638,15329,1685553372981082341,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553372998184876,15330,1685553372997876843,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373015037622,15331,1685553373014661557,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373031728303,15332,1685553373031447033,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373048489805,15333,1685553373048218009,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373065325369,15334,1685553373065001046,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373081998950,15335,1685553373081790377,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373098947264,15336,1685553373098604465,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373115700702,15337,1685553373115392261,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373132628357,15338,1685553373132258560,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373149296228,15339,1685553373149063840,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373166191255,15340,1685553373165901053,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373182950085,15341,1685553373182730948,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373199870807,15342,1685553373199582368,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373216625488,15343,1685553373216342448,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373233373465,15344,1685553373233121521,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373250261731,15345,1685553373249910565,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373266986538,15346,1685553373266719631,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373283762067,15347,1685553373283508211,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373300497223,15348,1685553373300273371,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373317384930,15349,1685553373317067579,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373334162821,15350,1685553373333848916,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373350959818,15351,1685553373350687654,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373367716920,15352,1685553373367485693,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373384450880,15353,1685553373384260695,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373401295732,15354,1685553373401048235,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373418053957,15355,1685553373417813561,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373434866572,15356,1685553373434600275,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373451592579,15357,1685553373451392017,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373468390390,15358,1685553373468190246,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373485233909,15359,1685553373484977976,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373502036533,15360,1685553373501771185,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373519022513,15361,1685553373518710841,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373535837068,15362,1685553373535529854,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373552587400,15363,1685553373552310096,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373569383292,15364,1685553373569096067,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373586176417,15365,1685553373585883841,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373603021242,15366,1685553373602731704,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373619804338,15367,1685553373619521088,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373636552980,15368,1685553373636285096,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373653334550,15369,1685553373653053542,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373670162330,15370,1685553373669842459,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373686988350,15371,1685553373686690370,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373703771843,15372,1685553373703521026,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373720527802,15373,1685553373720287443,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373737273658,15374,1685553373737064133,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373754178775,15375,1685553373753899734,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373771028987,15376,1685553373770726228,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373787766147,15377,1685553373787514370,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373804520668,15378,1685553373804248630,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373821313740,15379,1685553373821033537,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373838059810,15380,1685553373837822486,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373854957631,15381,1685553373854611565,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373871746105,15382,1685553373871443655,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373888433643,15383,1685553373888190717,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373905280493,15384,1685553373904994300,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373922014251,15385,1685553373921791299,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373938900533,15386,1685553373938591314,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373955728833,15387,1685553373955437557,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373972519630,15388,1685553373972248724,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553373989342201,15389,1685553373989038395,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374006100825,15390,1685553374005827436,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374022902690,15391,1685553374022619700,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374039674034,15392,1685553374039407367,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374056531664,15393,1685553374056255060,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374073462008,15394,1685553374073048316,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374090140044,15395,1685553374089838789,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374107036892,15396,1685553374106676915,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374123748366,15397,1685553374123462377,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374140505413,15398,1685553374140254310,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374157319800,15399,1685553374157027669,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374174097990,15400,1685553374173825086,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1685553374190889777,15401,1685553374190617433,/dev/input/js0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
